postTitle,profileId,profileName,text,date,Social Media,Cash,CPF Medisave,Income Tax Rebate,CPF RA -SA,NS Credits,CDC Vouchers,U-Save Rebates,S&CC Rebates,Education/Training,Retrenchment,General 
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0xXJMDXAHkUnZk74BbBt6TBiFFGxvDbjmFGZsgZGLBoytj4gx3bKvZS3qeg9j4RPhl,Calos Lok,increase the inflation and giving out $$$/vouchers like drugs .... when the disruption stop.... the PAP or whoever take on the government will feel the impact....,18/2/2024 9:49,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0YZvqBBRV2ieZZz1qiz2AXqWkfthcpEdVRhuY8Qjfdfb51kzgBKmE2yWobxsp4ZPAl,Kelakar Lelaki,Act so generous but actually taxpayers money. Lol near election give goodies but after election take back more,17/2/2024 13:57,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02F1YTcqypiQiXa53NN8wzusrNY8bz6EyDofbjNFcd5zACJdJa8xpcZpxknr9rTksal,Georgie Georgie,I think now they are concentrating on YOUNG VOTERS. Help them more and do more as I can see from this budget.,17/2/2024 22:54,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid09yBuKXTJu84UbtRaXwwueEBZoE7smkmr5xweyiQHasSj7mPXuTWv8bYwBP6EF231l,Christopher Liew,Don't read too much into all the luscious sugar-coating in this article. It's what they decide to do after the election that reveals their true intent.,19/2/2024 6:53,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0bvkzfWEKQJyfHii8r7amDtJYu1L3LHdTHAVoLRafeoAFQ67so4cM2yAaVHBMNRt1l,Krishnan Kanabiran,Time to VTO and VIO. Regime change is in the air.,24/2/2024 17:39,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02kyWj1LULdKFSiPNcs1qcj4BzeJcLTTfZnC4CXyUEqEtcKJNgKLhy3PQHjVt8R2Wwl,CongQin Lin,anyone deny it but t truth is always a fact.,18/2/2024 0:36,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0Hd233AhPo3UjVsShxBRdhPSFVF9jEkHonMbqb3TQ14sVGiNpnBh842j2T4yibPdDl,Living Spring,"🤔💰Cost of living for single is $1600, increase of silver package is 20%, not enough to meet the cost of living ! Why $600 CDC vouchers must divide by two ? $300 given at June and $300 at January 2025 ! Retirement age need to rise to 75, otherwise how to survive with 9% GST ? Will elderly at age 70 has a top-up of $4000 skills future funds if PAP encourage lifelong learning ? Will there be monthly and of $3000 for elderly at age 69 to take full time Diploma course with a living monthly allowance of $3000 ?
🥚🍞 General Elections 2024 in September ? Please get Desmond Lee to waive all the cooling measures, especially HFE and allow all private house owners to buy resale HDB 4 room flats",17/2/2024 13:20,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid029j6jUACDi3wSAC2RDPbxYmNQSd3ZkrctxAr77MSXiT6ZFdwoL8pjTkDVUV1QuBoGl,Buck Sim,"Just vto next ge and we peasants could hv a better life.. no need cdc vouchers, packages..",17/2/2024 12:20,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid035hcCzsK1G6vaUTLL7aoPpsbaWzKvii3d2HWtqxVd3wFbza9gEz79zj9pB6ussaUdl,Carmen Yeung,This is how out of touch they are they keeping thinking they’re doing a great job also thanks to the stupid media that say so in order to brainwash us into thinking it as well,17/2/2024 12:57,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid026B29YxebiMbZub47wDzYFWjkkTt7mJnZ3CnaToALUoEHxEaAhqeSz5uMJWbekZhml,Ante Plp,"In summary.
Huat ahh..🍍",17/2/2024 11:43,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid08wZTk71TrFWrzDdmBaMXTkjTC831vpvuhdaw2H17ZKCQ4jQvRFqwdxcBW43W5CaNl,Angie Comment,"Keep emphasis on education, get certification then you can get reward, get money. No wonder, our youngsters nowadays has forgotten the empathy for ppl, they have forgotten about value of each other only, knows you have what certification and I am higher in education than you ...",18/2/2024 9:20,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid031ELrDja3K5SsCLku8fovaMyAb9xxwhgu2pX5xw7Ge7JWbkQcbSGQpXBENu6RyjAYl,Gao Lidai,"They should field Shan , Vivian , Amy , Jo & ong in adjunied GRC 
Confirm win back 😂😂😂",17/2/2024 12:07,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid035zCykSPeY3JLLSxtBcivb3n64b8PZWtMKJjWZVkrnHgaYcchKh8ciF1uRRFraCTjl,Ja Lee,Since when the times are bad they still increase the Gst to 9% .... and the CPf system just changed as they wish .... many of us already awake and for sure more will know who to Vote for in next election  .,17/2/2024 13:36,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0FHAJq3okuBW7Lj97iJAhEvDBbfgXszddAc141wNpBJpPcKiLnLkMCkPLWYAAdVmsl,Jeremy Chin,"I'm looking at the closing of the SA acct when one reaches 55 and moved them to RA, which would earned a lesser interest and having to wait till 65 then can withdraw. All other carrots are immaterial at this point of a time or for a foreseeable future.",17/2/2024 19:47,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0hRDUvV38XYWmfK1nzY2hA8iwVhWVqbULdi6Q7dvYx4in2PYgQnHmGzffeaDU4qGyl,Kavod Grace,"All these handouts and top-ups hardly meet the expectations of local born Singaporeans.... 

Singapore is getting too noisy, too crowded, unbearable and unliveable..... Too many foreigners everywhere -  hogging jobs, BTO queues and even Scholarship ?  
Poor work-life balance....  

If the PAP does not do anything about this issues... we will have no choice but to vote for Opposition !",17/2/2024 12:16,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02tFcL7QtAwCHtaZHTs7u2tGMBt6PojqDLcSXiEbB19Waz3BSN5PFdixm2nEzMbobKl,Steven Wong,Did I miss on increasing cigarettes and liquor tax?,17/2/2024 13:29,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0aoEWR92eDsWyG6NGMiR5fyEb4kZKmrt3yao4A2iQzfFf9BAgumWA8xnHvbqjZ7SZl,Patrick Zhang,"It’s a staged Budget to get Lawrence Wong onto the podium.

In any case, it’s all numbers which the man on the street has no means to measure.",18/2/2024 8:12,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid023fSeqZwvMkLim4BrcfH5wTSW7ctsAHdrP9QJE1xL6H6hEeA7kmpQRNdhK53PV3mTl,Richard Lim,"Like they say,give you a drumstick now, very soon take a whole chicken from you...",17/2/2024 17:48,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0NQJZQycGmDojJPXL8zihf3bRz5Lsa8mH7FoXSNr4ELN9rLpiRQEzf3E13SESdi5Pl,Key Way,It’s like giving out money……,17/2/2024 13:51,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02c7F3NyRcwAG9UQutgEtRk9FYyommFcToFtpZpsXsFcb1j4P7VtJBEJy4Q9YHdAkVl,Lim Lim,So maybe bad news after election?,17/2/2024 11:43,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02kyqj9wjfQu5LLv5Nx9SpHTTcAvW2dfhvoUQeidiKzb9tUALAATGLX8cb262gwBikl,Paul Paul,2024將是一個WRONG年什麼都起價吃不消呀!!! 李显Wrong交棒給Lawrence WRONG在Wrong年是最Wrong時刻,18/2/2024 10:46,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02RFeS5Mjo3XCNaQJ4z8B16vywZe7BSy9HD4YHFZne6p7Hn6f1LQMBfcQgukLJLoyBl,Lao Guo,September,17/2/2024 11:41,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid06oVpssdVDq6SmWJRNh5C9e9UifqymQr2jABQk26xuU889wLNEDLw9VsouZaKtHuul,Jeff Ng,,17/2/2024 11:59,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid035zCykSPeY3JLLSxtBcivb3n64b8PZWtMKJjWZVkrnHgaYcchKh8ciF1uRRFraCTjl,Ja Lee,,17/2/2024 16:27,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0Hd233AhPo3UjVsShxBRdhPSFVF9jEkHonMbqb3TQ14sVGiNpnBh842j2T4yibPdDl,Living Spring,"🌅🐉 Dragon Year Ang pow budget is a booster jab for those with high anxiety distress and make many citizens happy, forgetting ""no jab, no job, no entry to shopping mall and supermarket!"" 
🌅Buying votes before general elections is their pattern to be in power ! After Ang pow, will GST be reduced ? Is the Ang pow like mRNA vaccines, be given twice every year ?  ,",18/2/2024 12:02,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02rLKo2topvcBYJgBPYrzAT1MXFsjjFiUz2CBXJcQkgKVGWWi3Lp8WaGTYtstvQEvEl,John CidSmith,Koh Ah Chwee in case you missed this. Very self justifying.,17/2/2024 11:41,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",1.00E+14,William Vincent,,17/2/2024 22:01,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02GPp7R3MGuSoi13SS8nHFQgdm3qGC7qMNXUahKEhzfwfwJemL3UNoqoFaGfQuCb1sl,KC Seah,"Our govdrment has the trust of SINGAPOREANS,but not us the 38+%.🤭🤭 truely born SINGAPOREANS;;; 🤭🤭🤭",17/2/2024 12:23,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0CFswRmTUsKZHXizDMeZsPQMMMnKoLqPf6QDeuzApSM8abriK2WUxcizr9zZgvERhl,Mike Pang,very little bad news? lmao,17/2/2024 12:18,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02n8TZELV5sp4KnzvRneCgDdPQpF6BF8D4ZXU2wxhkaedXRN96qA5iPET3eh7A8CPQl,James Maximus,Thats how the term “raiding of reserves “ comes about? A country thats heading to its doom!!! Vote them out!!!,17/2/2024 12:30,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid05LRUEm3xBegPTbCBn9x5noYBuJXp7PgkKN2b3xxzQ4bMRdnkseAvYuN2fbkjW4Hol,Louay Ratgay,"Ironically you're the one insisting on GST increase? Hypocritically you're the one declaring ""government giving support package""?
https://youtu.be/LIX643XPIcM?si=HU7-7xJRioUkA-kv
You dare announce additional 1.9b ""support""? When in reality you reaped/ripped Much MORE?
GST made up 20.5 per cent, or S$14.1 billion, of tax revenue.
https://www.businesstimes.com.sg/singapore/singapore-tax-collection-131-s686-billion-fy2023-reflects-post-covid-recovery
""What will make you need to raise GST? Profligate spending and irresponsible, unsustainable plans. That is what will hurt and require you to raise taxes and GST.""
https://tnp.straitstimes.com/news/singapore-news/pm-lee-quashes-wps-gst-claim
Don't forget your boss said this? Under you it seems to be getting worse?",18/2/2024 2:04,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02LVnH7RH5ysbqfWji4FCfxLDLP6biaiP5eX6JXt3zjGYE4rMxoBReXBcS24yaS9aQl,David Lee,Just give our CPF money to all 65 year old .When die is our problem ..,17/2/2024 11:52,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0JcMV1Zw5BrjzX19fN1ue4F87Swi5cDGcCSDYdHRJYsWU6PdvZF17GeVw4x4avu89l,Edvin Tay,CPF changesm,17/2/2024 11:47,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02kUnqL2ycTtCJubxT6UV6FXfgjFrWyoDK3D59yr5imeHNb649ZVdfu9fWK3q5XU5Wl,Samm Tan,A few hundreds to give out and you expect us to vote for you to earn 2-3 $Million$ ? We would gladly accept/take the money given but still voting for the Opp party.,18/2/2024 1:12,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02cE1jgJaYem2FkXSfY5jQXoQ4PHf5dk2GB2kN1bqQJdzwdUNQaL8wB5gwuHpwj6uwl,Koh Ah Chwee,"Ang Kok Ham so your worthless party and useless psp can hv alternative solutions and do it WITHOUT using any of your money??? 
what are you doing?? you not barking here then is what!!! yes, your dogmedicine is waiting for you!!!",17/2/2024 14:00,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0A7VJQvpBTUSJUZHhK3T6ihqKyatccrp5C6Aexzn2sCceNofFtJKzeJ5quevviHnBl,Ang Kok Ham,"Koh Ah Chwee you are the one who is talking big, they are using their own money or Yr money is it, it's our taxpayer money OK, y barking dog for the puppies is it, go take Yr medicines lah",17/2/2024 13:54,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02cE1jgJaYem2FkXSfY5jQXoQ4PHf5dk2GB2kN1bqQJdzwdUNQaL8wB5gwuHpwj6uwl,Koh Ah Chwee,Ang Amanda talking big!! nobody ask you to take them,17/2/2024 12:19,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02aXWJPVoqGLKrhe9r6X8WKRFKHrapdkNJciFVngJqXecsZRUW2U4d1BEdzoBBADwEl,Arulsamy Anthony,Freddie Tan coconut wit golden husk,17/2/2024 13:14,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02aXWJPVoqGLKrhe9r6X8WKRFKHrapdkNJciFVngJqXecsZRUW2U4d1BEdzoBBADwEl,Arulsamy Anthony,Freddie Tan it was said by one vip,17/2/2024 13:13,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0pnLWWMSoDih24jsnfyxGz2NHAgiSq8xFTPMB1v9RMpKntGYQ9c6rywFNwaN37ajfl,Freddie Tan,"Arulsamy Anthony 
What a god damn joke to say its an excercise. Next time ask your aged parents to start collecting cardboard for excercise",17/2/2024 13:10,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0pnLWWMSoDih24jsnfyxGz2NHAgiSq8xFTPMB1v9RMpKntGYQ9c6rywFNwaN37ajfl,Freddie Tan,"Arulsamy Anthony 
With million salary you call that peanut, you are another mrs GCT
To me, his salary is coconut",17/2/2024 13:08,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0r3HinVy9XyAnU3v9yhsjm7XZqjNmgzyWTsNQJ3Mwd7bYA4f6ex5FQ1VZjmwbFvqDl,Larry Wong,Arulsamy Anthony Taking your hard earned money to try and win votes. More money collected to anyhow spend.,17/2/2024 12:38,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02aXWJPVoqGLKrhe9r6X8WKRFKHrapdkNJciFVngJqXecsZRUW2U4d1BEdzoBBADwEl,Arulsamy Anthony,魏得娲得 sorry the cardboards  collecting is classified  as exercise bcoz MMA 's singapore Angelina Lee is retiring,17/2/2024 12:27,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02aXWJPVoqGLKrhe9r6X8WKRFKHrapdkNJciFVngJqXecsZRUW2U4d1BEdzoBBADwEl,Arulsamy Anthony,Mike Pang u never say that wen one lady say that,17/2/2024 12:24,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02Phz4ny6prNHo8ejmDFbXfjgzzP8Qdx1FraNEWibuDXgdRiQHEYZgVXtkgcpKRp4Pl,魏得娲得,"Arulsamy Anthony if million are considered peanuts, then those ah pek ah ma collect cardboard earns thousands?",17/2/2024 12:23,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0CFswRmTUsKZHXizDMeZsPQMMMnKoLqPf6QDeuzApSM8abriK2WUxcizr9zZgvERhl,Mike Pang,Arulsamy Anthony eat ur meds,17/2/2024 12:18,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02da6hpSrWH8bdKYQ6X5b6ViJ3MWpUdjK2Peitfdf1ssJLBVepbbPxLy3x1MqVZj9zl,Bu Liang Shuai,Stryker Yeh The sad thing is people have short term memory. Most have forgot the insane price and tax hikes we had last year.,17/2/2024 22:23,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02GPp7R3MGuSoi13SS8nHFQgdm3qGC7qMNXUahKEhzfwfwJemL3UNoqoFaGfQuCb1sl,KC Seah,Buck Sim excellency comment;;; Coming election VPAPO  Cheers Majulah🍺🍺🍺🍺🍺🍻🍻🍻🍻😊,17/2/2024 13:24,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid029j6jUACDi3wSAC2RDPbxYmNQSd3ZkrctxAr77MSXiT6ZFdwoL8pjTkDVUV1QuBoGl,Buck Sim,"Koh Ah Chwee fu, must be a papigs doggie.. did papigs give u a whipping to bark",17/2/2024 12:26,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02cE1jgJaYem2FkXSfY5jQXoQ4PHf5dk2GB2kN1bqQJdzwdUNQaL8wB5gwuHpwj6uwl,Koh Ah Chwee,"Buck Sim oh your mouth remained!!! yes, needed a vto badly then!!!",17/2/2024 12:24,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid0gvPFryndSL4CcVFqzqnm1bricU1ouQru8VY6BzRDN2zv611Q5aBQGR6mezST6Faxl,Jek Long,Christina Yew bingo,18/2/2024 8:40,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid026B29YxebiMbZub47wDzYFWjkkTt7mJnZ3CnaToALUoEHxEaAhqeSz5uMJWbekZhml,Ante Plp,Koh Ah Chwee 🙃,17/2/2024 12:27,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02cE1jgJaYem2FkXSfY5jQXoQ4PHf5dk2GB2kN1bqQJdzwdUNQaL8wB5gwuHpwj6uwl,Koh Ah Chwee,Ante Plp then dont take them lah !!!,17/2/2024 12:23,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02tp9vBoo1b5bKwpNkrmNP6DCXjgXThA4xwEnReW9wMW8RMbYJM7esTcxxMEvBUru2l,Victor Victor,OC Yeo I don't think it's good enough to be election budget,20/2/2024 12:07,Facebook,1,1,1,0,1,1,1,1,0,0,0
"2024 saw a Budget with very little in the way of ""bad news."" Perhaps a Budget to win an election now, but also for governing in the long term.",pfbid02n8TZELV5sp4KnzvRneCgDdPQpF6BF8D4ZXU2wxhkaedXRN96qA5iPET3eh7A8CPQl,James Maximus,"KC Seah incapable, greedy and some “horny”… where our ex Mr Speaker Sir????",18/2/2024 14:00,Facebook,1,1,1,0,1,1,1,1,0,0,0
